2 e 0 _ 0 _
0 _ 0 _ 0 _
2 e 0 _ 0 _
0 _ 0 _ 0 _
2 e 0 _ 0 _
0 _ 0 _ 0 _
2 e 0 _ 0 _
2 e 0 _ 0 _

2 e 3 e 0 _
2 e 3 e 0 _
2 e 3 e 0 _
2 e 3 e 0 _
1 b 3 e 4 e
0 b 3 e 4 e
1 b 3 e 4 e
0 b 3 e 4 e

0 r

1 e 3 e 3 b
1 e 3 e 3 b
2 e 3 e 3 b
1 e 3 e 3 a
1 b 3 e 3 a
1 b 3 e 3 a
2 b 3 e 3 b
1 b 3 e 3 b

1 e 3 e 3 b
1 e 3 e 3 b
2 e 3 e 3 b
1 e 3 e 3 a
1 b 3 e 3 a
1 b 3 e 3 a
2 b 3 e 3 b
1 b 3 e 3 b

1 a 3 a 4 C
1 a 3 a 4 C
2 a 3 a 4 C
1 a 3 a 3 b
1 e 3 a 3 b
1 e 3 a 3 b
2 e 3 a 4 C
1 e 3 a 4 C

1 a 3 a 4 d
1 a 3 a 4 d
2 a 3 a 4 d
1 a 3 a 4 C
1 e 3 a 4 C
1 e 3 a 4 C
2 e 3 a 3 b
1 e 3 a 3 b


1 e 3 e 3 b
1 e 3 e 3 b
2 e 3 e 3 b
1 e 3 e 3 a
1 b 3 e 3 a
1 b 3 e 3 a
2 b 3 e 3 b
1 b 3 e 3 b

1 e 3 e 3 b
1 e 3 e 3 b
2 e 3 e 3 b
1 e 3 e 3 a
1 b 3 e 3 a
1 b 3 e 3 a
2 b 3 e 3 b
1 b 3 e 3 b

1 a 3 a 4 C
1 a 3 a 4 C
2 a 3 a 4 C
1 a 3 a 3 b
1 e 3 a 3 b
1 e 3 a 3 b
2 e 3 a 4 C
1 e 3 a 4 C

1 a 3 a 4 d
1 a 3 a 4 d
2 a 3 a 4 d
1 a 3 a 4 C
1 e 3 a 4 C
1 e 3 a 4 C
2 e 3 a 3 b
1 e 3 a 3 b


1 e 3 e 3 b
1 e 3 e 3 b
2 e 3 e 3 b
1 e 3 e 3 a
1 b 3 e 3 a
1 b 3 e 3 a
2 b 3 e 3 b
1 b 3 e 3 b

1 e 3 e 3 b
1 e 3 e 3 b
2 e 3 e 3 b
1 e 3 e 3 a
1 b 3 e 3 a
1 b 3 e 3 a
2 b 3 e 3 b
1 b 3 e 3 b

1 b 3 b 4 d
1 b 3 b 4 d
2 b 3 b 4 d
1 b 3 b 4 C
1 b 3 b 4 C
1 b 3 b 4 C
2 b 3 b 4 d
1 b 3 b 4 d

1 a 3 a 4 e
1 a 3 a 4 e
2 a 3 a 4 e
1 a 3 a 4 d
1 e 3 a 4 d
1 e 3 a 4 d
2 e 3 a 4 C
1 e 3 a 4 C

1 e 3 e 3 b
1 e 3 e 3 b
2 e 3 e 3 b
1 e 3 e 3 b
1 b 3 e 2 G
1 b 3 e 2 G
2 b 3 e 2 G
1 b 3 d 2 G

1 e 3 d 2 G
1 e 3 e 2 G
2 e 3 e 2 G
1 e 1 e 2 G
1 b 3 e 2 G
1 b 1 e 2 G
2 b 3 e 2 G
1 b 3 d 2 G

1 e 3 d 2 G
1 e 3 e 2 G
2 e 3 e 2 G
1 e 1 e 2 G
1 b 3 e 2 G
1 b 1 e 2 G
2 b 3 e 2 G
1 b 1 e 2 G

1 e 3 e 3 a
1 e 3 e 3 a
2 e 3 e 3 g
1 e 3 e 3 g
1 b 3 e 3 e
1 b 3 e 3 e
2 b 2 G 3 D
1 b 2 G 3 D

1 C 3 G 4 C
1 C 3 G 4 C
2 C 3 G 4 C
2 C 3 G 3 b
1 G 3 G 3 b
1 G 3 G 3 b
2 G 3 G 4 C
2 G 3 G 4 C

1 C 3 G 4 C
1 C 3 G 4 C
2 C 3 G 4 e
2 C 3 G 4 e
1 G 3 G 4 C
1 G 3 G 3 b
2 G 3 G 4 C
2 G 3 G 4 e

1 b 3 G 4 C
1 b 3 G 4 C
2 b 3 G 4 C
2 b 3 G 3 b
1 G 3 G 3 b
1 G 3 G 3 b
2 G 3 G 4 C
2 G 3 G 4 C

1 b 3 G 4 C
1 b 3 G 4 C
2 b 3 G 4 e
2 b 3 G 4 e
1 G 3 G 4 C
1 G 3 G 3 b
2 G 3 G 4 C
